Name,Country,Region,Location,Lat,Lng,Project type,Work nature,Project stage,Status,Client,General contractor/JV,General contractor,JV / parents,Concrete subcontractor,Competitor present,Value,Currency,Value band,Announced,Tender deadline,Expected concrete start,Expected completion,Concrete opportunity,Fit,Fit profile,Fit reason,Fit dimensions,Product fit,Use case,AE,SDR,Partner route,Partner contact,Source,Notice URL,Notice ID,Summary,Verified,Next action,Next action date,Recontact date,HubSpot deal
Pure Water Southern California,United States,us_west,"Carson, CA",,,Water treatment,New build,Planning / pre-tender,New,MWD + LA County Sanitation Districts,,,,,,3580,USD,250M+,,,,2035-12-31,Large,High,Low-carbon spec-in,,,"MixAI,Data Hub",Marine / water-retaining,lawson,reed,TBD,,NEWS,https://www.mwdh2o.com/building-local-supplies/pure-water-southern-california/,,AWPF at Carson + up to 60 miles pipeline. Final EIR certified Feb 2026. Stage 1 45MGD; rises to $11.3-12.3bn at 150MGD.,__NO__,,,,
California High-Speed Rail - Central Valley (live structures),United States,us_west,"Madera/Fresno/Kings/Tulare, CA",,,Rail / metro,New build,Main works / on site,New,California High-Speed Rail Authority,,,,,,128000,USD,250M+,,,,,Large,High,Mass-concrete civils,,,"Cure / Signal,Data Hub",Precast,lawson,reed,TBD,,NEWS,https://hsr.ca.gov/2026/06/25/news-release-california-high-speed-rail-advances-major-construction-procurement-for-merced-to-madera-extension/,,"80+ miles guideway complete, 61 structures finished, 30 under construction as of June 2026.",__NO__,,,,
California High-Speed Rail - Merced to Madera civil works,United States,us_west,"Merced to Madera, CA",,,Rail / metro,New build,Tender,New,California High-Speed Rail Authority,,,,,,,USD,,,,,,Large,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Precast,lawson,reed,TBD,,NEWS,https://hsr.ca.gov/2026/06/25/news-release-california-high-speed-rail-advances-major-construction-procurement-for-merced-to-madera-extension/,,"RFQ approved June 2026. ~33.9 miles, ~40 structures. Collaborative design-build. Two teams shortlisted by end 2026.",__NO__,,,,
California High-Speed Rail - Fresno to Bakersfield (LGA) extension,United States,us_west,"Shafter to Bakersfield, CA",,,Rail / metro,New build,Planning / pre-tender,New,California High-Speed Rail Authority,,,,,,,USD,,,,,,Large,High,Mass-concrete civils,,,"Cure / Signal,Data Hub",Precast,lawson,reed,TBD,,NEWS,https://hsr.ca.gov/project-overview/,,"~18.5 miles, 31 structures.",__NO__,,,,
Delta Conveyance Project,United States,us_west,"Sacramento-San Joaquin Delta, CA",,,Tunnel,New build,Planning / pre-tender,New,California DWR,,,,,,20000,USD,250M+,,,,2044-12-31,Large,Medium,Low-carbon spec-in,,,"MixAI,Data Hub",Tunnel linings,lawson,reed,TBD,,NEWS,https://www.gov.ca.gov/2026/06/05/delta-conveyance-project-receives-critical-federal-clearance-to-advance-construction/,,"45-mile 36ft ID concrete-lined tunnel, 11 shafts, 2 intakes, Bethany pumping plant. ESA complete June 2026. Politically contested; on-site batch plants in approved scope.",__NO__,,,,
Sites Reservoir,United States,us_west,"Colusa County, CA",,,Dam / hydro / reservoir,New build,Planning / pre-tender,New,Sites Project Authority,,,,,,6000,USD,250M+,,,,,Large,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://www.bondbuyer.com/news/key-decisions-near-for-californias-sites-reservoir-project,,1.5m acre-feet off-stream reservoir. Construction possibly starting late 2026; first debt spring/summer 2027. Federal share 9-25% unresolved.,__NO__,,,,
Sepulveda Transit Corridor,United States,us_west,"Los Angeles (Van Nuys to Westwood), CA",,,Rail / metro,New build,Planning / pre-tender,New,LA Metro,,,,,,24200,USD,250M+,,,,,Large,High,Mass-concrete civils,,,"MixAI,Data Hub,FieldAtlas",Tunnel linings,lawson,reed,TBD,,NEWS,https://thesource.metro.net/in-major-step-forward-for-sepulveda-transit-corridor-project-metro-board-selects-a-route-and-heavy-rail-as-locally-preferred-alternative/,,"13 miles fully underground heavy rail, 7 stations, LPA selected Jan 2026. Opens 2033-2035.",__NO__,,,,
LA Convention Center Expansion & Modernization,United States,us_west,"Downtown Los Angeles, CA",,,Stadium / arena / convention,Extension,Main works / on site,New,City of Los Angeles,PCL Construction + Webcor,,,,,2600,USD,250M+,,,,2029-06-30,Large,High,Schedule-critical vertical build,,,"Cure / Signal,Data Hub",In-situ frame,lawson,reed,TBD,,NEWS,https://engineering.lacity.gov/projects/laconventioncenter-expansion-and-modernization-project,,"325,000 sq ft structure bridging over Pico Blvd + 98,000 sq ft rooftop ballroom. Pauses for 2028 Games.",__NO__,,,,
LAX Terminal 9 + Concourse 0 (ATMP),United States,us_west,"Los Angeles (LAX), CA",,,Airport,Extension,Planning / pre-tender,New,Los Angeles World Airports,,,,,,,USD,,,,,2028-06-30,Large,High,Schedule-critical vertical build,,,"Cure / Signal,Data Hub",In-situ frame,lawson,reed,TBD,,NEWS,https://www.lawa.org/atmp/project,,"Two projects each >1m sq ft. T9 12-18 gates, Concourse 0 6-9 gates, elevated roadway system.",__NO__,,,,
LAX Terminal 5 rebuild,United States,us_west,"Los Angeles (LAX), CA",,,Airport,Replacement,Groundbreaking / enabling works,New,Los Angeles World Airports,,,,,,,USD,,,,,,Unknown,Medium,Schedule-critical vertical build,,,Cure / Signal,In-situ frame,lawson,reed,TBD,,NEWS,https://labusinessjournal.com/special-reports/infrastructure-los-angeles-international-airport/,,"Terminal closed 2025, demolition from late 2025/early 2026. Confirm award status.",__NO__,,,,
