sheet,company,tier,country,parent,domain,sectors,concrete_fit,also_uk,also_eu,also_us,enr_rank,notes
UK,Balfour Beatty,1,United Kingdom,Balfour Beatty plc,balfourbeatty.com,"Civils, rail, highways, power, buildings",High,,No,Yes,,"UK's largest contractor. Balfour Beatty US is ENR #27 — same group, different P&L."
UK,Morgan Sindall Group,1,United Kingdom,Morgan Sindall Group plc,morgansindall.com,"Construction, infrastructure, fit-out, partnership housing",High,,No,No,,"Incumbent on MKUH campus (NHP). Emma Curtis, Area Director Northern Home Counties."
UK,Kier Group,1,United Kingdom,Kier Group plc,kier.co.uk,"Highways, civils, education, health, defence",High,,No,No,,
UK,Laing O'Rourke,1,United Kingdom,Laing O'Rourke Corporation,laingorourke.com,"Major buildings, civils, DfMA",High,,No,No,,Self-delivers frames via Expanded. Explore Industrial Park precast — strong FieldAtlas fit.
UK,Mace Group,1,United Kingdom,Mace Group,macegroup.com,"Major buildings, consult, fit-out",High,,Yes,Yes,,Construct arm is UK-centric; consult arm is global.
UK,Wates Group,1,United Kingdom,Wates Group Ltd,wates.co.uk,"Buildings, residential, FM",High,,No,No,,
UK,M Group,1,United Kingdom,M Group (CVC-owned),mgroupservices.com,"Utilities, transport, telecoms networks",Medium,,No,No,,Lisa's account. A382 carbon-negative road = MixAI play; lead via Devon CC (Beth Lewis).
UK,VINCI Construction UK,1,United Kingdom,VINCI SA,vinciconstruction.co.uk,"Buildings, civils, highways",High,,Yes,Yes,,Includes Taylor Woodrow. Group present in all three regions.
UK,Tarmac Trading,1,United Kingdom,CRH plc,tarmac.com,"Materials, surfacing, contracting",Medium,,Yes,Yes,,Materials-led — better as a partner/channel than a GC target.
UK,Amey UK,1,United Kingdom,Amey (One Equity Partners),amey.co.uk,"Highways, rail, facilities",Medium,,No,No,,
UK,Galliford Try,1,United Kingdom,Galliford Try Holdings plc,gallifordtry.co.uk,"Building, infrastructure, environment",High,,No,No,,Includes Morrison Construction (Scotland).
UK,VolkerWessels UK,1,United Kingdom,VolkerWessels,volkerwessels.co.uk,"Rail, highways, marine, ground engineering",High,,Yes,No,,VolkerFitzpatrick / VolkerStevin / VolkerRail / VolkerLaser.
UK,Skanska UK,1,United Kingdom,Skanska AB,skanska.co.uk,"Civils, buildings, piling (Cementation)",High,,Yes,Yes,,Group operates in all three. Aled target account.
UK,Costain Group,1,United Kingdom,Costain Group plc,costain.com,"Transport, water, energy, defence",High,,No,No,,
UK,Sir Robert McAlpine,1,United Kingdom,Sir Robert McAlpine Ltd,srm.com,"Major buildings, stadia, infrastructure",High,,No,No,,
UK,BAM UK & Ireland,1,United Kingdom,Royal BAM Group,bam.com,"Buildings, civils (BAM Nuttall), FM",High,,Yes,No,,Lisa account. Existing ABM pages built across five UK regions + Ireland + NL.
UK,Willmott Dixon,1,United Kingdom,Willmott Dixon Holdings,willmottdixon.co.uk,"Public sector buildings, interiors",High,,No,No,,
UK,Bowmer & Kirkland,1,United Kingdom,Bowmer & Kirkland Ltd,bandk.co.uk,"Industrial, logistics, PBSA, DfE frameworks",High,,No,No,,DfE's highest-paid contractor. Big slab/frame volume.
UK,J Murphy & Sons,1,United Kingdom,Murphy Group,murphygroup.com,"Utilities, rail, tunnelling, energy",High,,Yes,No,,Also Ireland + Canada/US via Murphy Canada.
UK,Multiplex Construction Europe,1,United Kingdom,Brookfield / Multiplex,multiplex.global,"High-rise residential, commercial, PBSA",High,,No,No,,Turnover per Building Top 150 correction note. Very high RC-frame intensity.
UK,GRAHAM,1,United Kingdom,John Graham Holdings,graham.co.uk,"Building, civils, interiors",High,,Yes,No,,Topped Feb 2026 Glenigan league on a ~£300m PBSA scheme.
UK,Winvic Construction,1,United Kingdom,Winvic Construction Ltd,winvic.co.uk,"Industrial, logistics, PBSA, BTR",High,,No,No,,Very high slab volume — Signal/Cure natural fit.
UK,Bouygues UK,1,United Kingdom,Bouygues SA,bouygues-uk.com,"Education, residential, regeneration",High,,Yes,No,,
UK,Ferrovial Construction UK,1,United Kingdom,Ferrovial SE,ferrovial.com,"Highways, rail, tunnelling",High,,Yes,Yes,,Group in all three; Ferrovial Construction is ENR #56 in the US.
UK,Dragados UK,1,United Kingdom,ACS Group,dragados-uk.com,"Rail, tunnelling, highways",High,,Yes,Yes,,HS2 SCS JV. Group (ACS/Hochtief/Turner) spans all three.
UK,HOCHTIEF UK,1,United Kingdom,HOCHTIEF / ACS,hochtief.com,"Major civils, PPP",High,,Yes,Yes,,Parent of Turner (ENR #1) and FlatironDragados (ENR #25).
UK,Lendlease Construction Europe,1,United Kingdom,Lendlease Group,lendlease.com,"Major regeneration, residential",High,,No,Yes,,Reviewing UK exposure — check current status before investing time.
UK,John Sisk & Son,1,United Kingdom,Sicon Ltd,johnsiskandson.com,"Buildings, civils, data centres",High,,Yes,No,,2025 PBT up 27.7% to EUR74.2m; UK growth offset IE/EU declines.
UK,Keltbray,1,United Kingdom,Keltbray Group,keltbray.com,"Demolition, piling, civils, rail",High,,No,No,,Restructured 2024 — infrastructure services core.
UK,McLaren Construction Group,1,United Kingdom,McLaren Group,mclarengroup.com,"Commercial, residential, industrial",High,,No,No,,
UK,Tilbury Douglas,1,United Kingdom,Tilbury Douglas Ltd,tilburydouglas.co.uk,"Health, education, industrial",High,,No,No,,
UK,Equans UK & Ireland,1,United Kingdom,Bouygues SA,equans.co.uk,"Technical services, regeneration",Medium,,Yes,No,,
UK,Robertson Group,1,United Kingdom,Robertson Group Ltd,robertson.co.uk,"Buildings, civils (Scotland-led)",High,,No,No,,
UK,United Living Group,1,United Kingdom,United Living (Apollo Global),unitedliving.co.uk,"Infrastructure, housing, telecoms",Medium,,No,No,,
UK,Clancy Group,2,United Kingdom,Clancy Group Holdings,clancy.co.uk,"Water, utilities, civils",Medium,,No,No,,
UK,HG Construction,2,United Kingdom,HG Construction Ltd,hgconstruction.co.uk,"PBSA, BTR, hotels",High,,No,No,,"Aled's account. Self-delivers concrete frames in-house — cycle-time argument lands with the main contractor. Ricky McGuirk (Project Director), Watkin Road PBSA."
UK,Domis Construction,2,United Kingdom,Domis Construction Ltd,domisconstruction.com,High-rise residential (Manchester),High,,No,No,,Topped March 2026 league on a £200m Trafford scheme. Heavy RC frame.
UK,Caddick Construction,2,United Kingdom,Caddick Group,caddickconstruction.co.uk,"Commercial, residential, industrial",High,,No,No,,
UK,GMI Construction Group,2,United Kingdom,GMI Construction Group plc,gmiconstruction.co.uk,"Industrial, logistics, commercial",High,,No,No,,
UK,McAleer & Rushe,2,United Kingdom,McAleer & Rushe Group,mcaleer-rushe.co.uk,"Hotels, PBSA, BTR",High,,No,No,,
UK,Stepnell,2,United Kingdom,Stepnell Ltd,stepnell.co.uk,"Regional building, health, education",Medium,,No,No,,
UK,Beard Construction,2,United Kingdom,Beard Group,beardconstruction.co.uk,Regional building (South/Midlands),Medium,,No,No,,
UK,Speller Metcalfe,2,United Kingdom,Speller Metcalfe Ltd,spellermetcalfe.com,"Education, leisure, health",Medium,,No,No,,
UK,RG Group,2,United Kingdom,RG Group,rggroup.co.uk,"Retail, logistics, commercial",High,,No,No,,Aled target account.
UK,Renaker,2,United Kingdom,Renaker Build Ltd,renaker.com,High-rise residential (Manchester),High,,No,No,,Aled target account. Developer-contractor — very high RC volume.
UK,JRL Group (Midgard),2,United Kingdom,JRL Group,jrlgroup.co.uk,"RC frames, groundworks, main contracting",High,,No,No,,Self-perform concrete frames at scale — direct Signal/Cure buyer.
UK,Careys / Carey Group,2,United Kingdom,Carey Group,careysplc.co.uk,"Concrete frames, groundworks, civils",High,,No,No,,Specialist frame contractor — highest-intensity concrete user in the UK list.
UK,Byrne Group (Byrne Bros),2,United Kingdom,Byrne Group,byrne-group.co.uk,"Concrete frames, formwork",High,,No,No,,Frame specialist.
UK,J Coffey Construction,2,United Kingdom,J Coffey Construction,jcoffey.co.uk,"Concrete frames, groundworks",High,,No,No,,Frame specialist.
UK,O'Keefe Group,2,United Kingdom,O'Keefe Group,okeefe.co.uk,"Groundworks, RC substructures",High,,No,No,,
UK,Erith Group,2,United Kingdom,Erith Holdings,erith.com,"Demolition, groundworks, civils",Medium,,No,No,,
UK,MV Kelly,2,United Kingdom,MV Kelly Ltd,mvkelly.co.uk,"Groundworks, infrastructure for housebuilders",High,,No,No,,
